airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-02-18,13,14.6,0.0,0.0,24.2,46.8,74
TUN,2016-02-19,6,8.8,0.0,0.0,8.4,14.4,1
TUN,2016-02-26,9,13.7,0.0,0.0,21.3,34.6,30
TUN,2016-02-29,19,12.2,0.0,0.0,17.1,37.1,29
TUN,2016-04-03,6,14.1,0.0,0.0,9.4,12.6,11
TUN,2016-04-12,12,27.0,0.0,0.0,5.9,14.4,0
TUN,2016-04-12,13,27.8,0.0,0.0,7.8,18.0,0
TUN,2016-04-24,19,17.0,0.0,0.0,19.2,37.4,1
TUN,2016-07-09,6,21.5,0.0,0.0,5.8,10.1,0
TUN,2016-07-09,7,23.5,0.0,0.0,2.9,10.1,0
TUN,2016-07-26,14,29.5,0.0,0.0,18.2,38.2,1
TUN,2016-07-28,4,22.7,0.0,0.0,10.8,16.9,0
TUN,2016-07-31,14,32.8,0.0,0.0,9.0,22.0,0
TUN,2016-08-05,7,23.7,0.0,0.0,6.3,15.8,0
TUN,2016-08-07,6,23.1,0.0,0.0,21.9,36.7,7
TUN,2016-08-07,7,23.6,0.0,0.0,21.4,36.7,21
TUN,2016-08-07,18,26.4,0.0,0.0,21.8,43.6,7
TUN,2016-08-09,7,22.5,0.0,0.0,12.7,23.0,0
TUN,2016-08-09,15,29.1,0.0,0.0,14.9,33.1,0
TUN,2016-08-14,14,27.6,0.0,0.0,12.3,27.7,0
TUN,2016-08-15,6,20.8,0.0,0.0,8.7,15.1,0
TUN,2016-08-16,7,23.0,0.0,0.0,8.6,18.4,0
TUN,2016-08-19,7,22.9,0.0,0.0,7.4,14.4,75
TUN,2016-08-20,17,33.6,0.0,0.0,14.9,28.1,0
TUN,2016-08-24,5,22.4,0.0,0.0,10.1,18.4,4
TUN,2016-08-24,6,22.2,0.0,0.0,9.9,17.3,1
TUN,2016-08-24,7,22.8,0.0,0.0,11.1,20.9,0
TUN,2016-08-24,13,27.4,0.0,0.0,22.0,43.2,15
TUN,2016-08-26,19,25.8,0.0,0.0,11.6,23.0,0
TUN,2016-04-09,14,15.8,0.0,0.0,25.7,49.7,23
TUN,2016-04-10,10,15.9,0.0,0.0,15.8,33.5,31
TUN,2016-04-10,6,11.7,0.0,0.0,13.5,24.8,42
TUN,2016-04-10,7,12.1,0.0,0.0,13.8,23.4,25
TUN,2016-04-10,8,13.6,0.0,0.0,14.0,25.9,18
TUN,2016-04-10,11,16.7,0.0,0.0,11.1,31.0,17
TUN,2016-04-10,18,16.0,0.0,0.0,11.8,21.6,0
TUN,2016-04-10,15,18.1,0.0,0.0,7.2,22.7,5
TUN,2016-04-10,16,17.7,0.0,0.0,7.5,21.6,5
TUN,2016-04-10,17,16.9,0.0,0.0,11.0,20.9,0
TUN,2016-04-11,7,12.7,0.0,0.0,13.5,21.6,0
