airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
FCO,1,severe,0.0237,Gale-force wind,66.2,0.0,0.0,1
FCO,2,calm,0.7657,Overcast,21.6,0.0,0.0,0
FCO,2,rough,0.2137,Drizzle,34.2,0.6,0.0,1
FCO,2,severe,0.0206,Drizzle + strong wind,72.4,0.6,0.0,1
FCO,3,calm,0.7487,Partly cloudy,21.2,0.0,0.0,0
FCO,3,rough,0.2298,Strong wind,53.6,0.0,0.0,1
FCO,3,severe,0.0215,Drizzle + strong wind,63.4,0.3,0.0,1
FCO,4,calm,0.8435,Overcast,19.4,0.0,0.0,0
FCO,4,rough,0.15,Strong wind,48.6,0.0,0.0,1
FCO,4,severe,0.0065,Drizzle + strong wind,64.1,0.4,0.0,1
FCO,5,calm,0.8696,Partly cloudy,19.8,0.0,0.0,0
FCO,5,rough,0.1295,Strong wind,48.6,0.0,0.0,1
FCO,5,severe,0.0009,Rain,38.5,6.8,0.0,1
FCO,6,calm,0.9153,Clear,19.1,0.0,0.0,0
FCO,6,rough,0.0815,Strong wind,46.1,0.0,0.0,1
FCO,6,severe,0.0032,Gale-force wind,64.1,0.0,0.0,1
FCO,7,calm,0.9001,Clear,19.1,0.0,0.0,0
FCO,7,rough,0.0995,Strong wind,46.1,0.0,0.0,1
FCO,7,severe,0.0004,Rain + strong wind,41.8,7.4,0.0,1
FCO,8,calm,0.927,Partly cloudy,19.4,0.0,0.0,0
FCO,8,rough,0.0721,Strong wind,44.3,0.0,0.0,1
FCO,8,severe,0.0009,Gale-force wind,62.6,0.0,0.0,1
FCO,9,calm,0.8866,Overcast,18.4,0.0,0.0,0
FCO,9,rough,0.1079,Drizzle + strong wind,45.7,0.2,0.0,1
FCO,9,severe,0.0056,Heavy rain,14.8,8.3,0.0,1
FCO,10,calm,0.8253,Partly cloudy,18.7,0.0,0.0,0
FCO,10,rough,0.1478,Strong wind,52.6,0.0,0.0,1
FCO,10,severe,0.0269,Light rain + strong wind,64.4,1.4,0.0,1
FCO,11,calm,0.7903,Overcast,20.5,0.0,0.0,0
FCO,11,rough,0.1949,Strong wind,55.8,0.0,0.0,1
FCO,11,severe,0.0148,Rain + strong wind,46.4,5.2,0.0,1
FCO,12,calm,0.8687,Partly cloudy,17.6,0.0,0.0,0
FCO,12,rough,0.1093,Drizzle,29.9,0.6,0.0,1
FCO,12,severe,0.022,Gale-force wind,70.2,0.0,0.0,1
FRA,1,calm,0.7755,Partly cloudy,19.4,0.0,0.0,0
FRA,1,rough,0.2074,Strong wind,51.1,0.0,0.0,1
FRA,1,severe,0.017,Drizzle + strong wind,87.8,0.1,0.0,1
FRA,2,calm,0.7779,Overcast,21.2,0.0,0.0,0
FRA,2,rough,0.2029,Strong wind,52.9,0.0,0.0,1
FRA,2,severe,0.0191,Drizzle + strong wind,63.0,0.4,0.0,1
FRA,3,calm,0.8262,Overcast,21.2,0.0,0.0,0
FRA,3,rough,0.168,Strong wind,50.8,0.0,0.0,1
FRA,3,severe,0.0058,Drizzle + strong wind,65.5,0.5,0.0,1
FRA,4,calm,0.8773,Overcast,19.1,0.0,0.0,0
FRA,4,rough,0.1208,Drizzle + strong wind,43.6,0.2,0.0,1
FRA,4,severe,0.0019,Gale-force wind,67.0,0.0,0.0,1
FRA,5,calm,0.8826,Clear,20.5,0.0,0.0,0
FRA,5,rough,0.1174,Drizzle,29.9,0.5,0.0,1
FRA,6,calm,0.8681,Overcast,20.5,0.0,0.0,0
FRA,6,rough,0.1282,Drizzle + strong wind,46.4,0.1,0.0,1
FRA,6,severe,0.0037,Gale-force wind,69.8,0.0,0.0,1
FRA,7,calm,0.9153,Partly cloudy,19.1,0.0,0.0,0
FRA,7,rough,0.0833,Drizzle + strong wind,43.9,0.2,0.0,1
FRA,7,severe,0.0013,Rain,24.1,5.5,0.0,1
FRA,8,calm,0.9135,Overcast,18.7,0.0,0.0,0
FRA,8,rough,0.0851,Drizzle,10.1,1.1,0.0,1
FRA,8,severe,0.0013,Heavy rain,18.7,11.2,0.0,1
FRA,9,calm,0.9111,Clear,15.8,0.0,0.0,0
FRA,9,rough,0.0815,Strong wind,51.1,0.0,0.0,1
FRA,9,severe,0.0074,Drizzle + strong wind,63.0,0.3,0.0,1
FRA,10,calm,0.8831,Overcast,17.3,0.0,0.0,0
FRA,10,rough,0.1129,Strong wind,47.5,0.0,0.0,1
FRA,10,severe,0.004,Drizzle + strong wind,67.0,0.1,0.0,1
FRA,11,calm,0.8796,Overcast,18.7,0.0,0.0,0
FRA,11,rough,0.1181,Strong wind,50.8,0.0,0.0,1
FRA,11,severe,0.0023,Drizzle + strong wind,76.7,0.7,0.0,1
FRA,12,calm,0.8351,Overcast,18.4,0.0,0.0,0
FRA,12,rough,0.1586,Drizzle,31.7,0.6,0.0,1
FRA,12,severe,0.0063,Drizzle + strong wind,69.8,0.7,0.0,1
IST,1,calm,0.6465,Drizzle,8.6,0.4,0.0,0
IST,1,rough,0.3038,Snow,15.5,0.4,0.28,1
IST,1,severe,0.0497,Drizzle + strong wind,69.1,0.5,0.0,1
IST,2,calm,0.6265,Clear,25.6,0.0,0.0,0
IST,2,rough,0.3206,Strong wind,50.0,0.0,0.0,1
IST,2,severe,0.0529,Gale-force wind,70.9,0.0,0.0,1
IST,3,calm,0.7186,Drizzle,21.2,0.1,0.0,0
IST,3,rough,0.2616,Drizzle + strong wind,41.8,0.2,0.0,1
IST,3,severe,0.0197,Drizzle + strong wind,69.8,0.1,0.0,1
IST,4,calm,0.881,Clear,21.2,0.0,0.0,0
IST,4,rough,0.1162,Drizzle + strong wind,42.5,0.1,0.0,1
IST,4,severe,0.0028,Drizzle + strong wind,63.7,0.8,0.0,1
IST,5,calm,0.8132,Overcast,24.5,0.0,0.0,0
IST,5,rough,0.1828,Drizzle + strong wind,45.4,0.1,0.0,1
IST,5,severe,0.004,Rain,31.7,5.7,0.0,1
IST,6,calm,0.8208,Clear,23.4,0.0,0.0,0
IST,6,rough,0.1755,Strong wind,48.2,0.0,0.0,1
IST,6,severe,0.0037,Rain,25.9,5.8,0.0,1
